,Category,Proposed unity cost
1,"Crop variety
licensing
(Royalties)","3% of net sales of
certified seed for crop
hybrids"
,,"2.5% of net sales of
certified seed for open-
pollinated varieties"
2,"Basic and
certified seed
sales",Cereals K35 per kg
,,Legumes K45 per kg
,,"Cassava cuttings K110
per bundle"
,,"Sweet potato vines K35
per bundle"
3,"Parental lines
sales",K150 per kg
