,Current Regime,,,,,,Proposed Regime,,,,
,Income Band,,,Tax Rate,,,Income Band,,,Tax Rate,
"0 – K3,300 per month",,,0%,,,"0 – K4,000 per month",,,0%,,
"K3,301 – K4,100 per month",,,25%,,,"K4,001 – K4,800 per month",,,25%,,
"K4,101 – K6, 200 per
month",,,30%,,,"K4,801 – K6, 900 per
month",,,30%,,
"Above K6,200",,,37.50%,,,"Above K6,900",,,37.50%,,
