Current Regime,,Proposed Regime,
"Income Band
(K, per month)",Tax Rate,"Income Band
(K, per month)",Tax Rate
K0 – K4800,0%,K0 – K5100,0%
"K4,801 – K6,800",20%,"K5,101 – K7,100",20%
"K6,801 – K8,900",30%,"K7,101 – K9,200",30%
"Above K8,900",37.5%,"Above K9,200",37%
