,Current Regime,,,,Proposed Regime,,
Income Band,,Tax rate (%),,Income Band,,Tax rate (%),
0 - 4000,,0,,"0 – 4,500",,0,
"4,001 – 4, 800",,25,,"4,501 – 4,800",,25,
"4,801 – 6,900",,30,,"4,801 – 6,900",,30,
"Above 6,900",,37.5,,"Above 6,900",,37.5,
